# key<TAB>PubChem 查询名  —— 只列「用 English 名直接查会查错」的行。
#
# 两类必须覆盖，其余行用 structure_candidates.tsv 的 English 名直接查：
#
# 1) 酸的阴离子。PubChem 上 "pyruvate" 返回的是 CID 107735，带 -1 电荷的阴离子
#    （SDF 里有 M  CHG 行）。而本 app 已有的约定是「中性、未解离型」（见 amino_acids.js
#    的抬头）。所以酸一律查中性名。fetch 脚本会对任何带电的记录报警，所以漏掉一个
#    不会静默通过。
#
# 2) MANUAL —— PubChem 上没有单一化合物与之对应的条目：重复单元、分支点、
#    「某个辅酶被还原掉的那个环」、骨架。这些不 fetch，留给人画，fetch 脚本会把它们
#    单独列出来而不是假装成功。
#
d-glyceraldehyd	D-glyceraldehyde
pyruvate	pyruvic acid
lactate	L-lactic acid
bpg23	2,3-bisphosphoglyceric acid
udp-glucose	UDP-glucose
citrate	citric acid
cis-aconitate	cis-aconitic acid
isocitrate	isocitric acid
akg	alpha-ketoglutaric acid
succinyl-coa	succinyl-CoA
succinate	succinic acid
fumarate	fumaric acid
malate	L-malic acid
oxaloacetate	oxaloacetic acid
glyoxylate	glyoxylic acid
pgluconate6	6-phosphogluconic acid
ru5p	D-ribulose 5-phosphate
r5p	D-ribose 5-phosphate
s7p	sedoheptulose 7-phosphate
e4p	D-erythrose 4-phosphate
rubp	D-ribulose 1,5-bisphosphate
acyl-coa	palmitoyl-CoA
enoyl-coa	trans-hexadec-2-enoyl-CoA
hydroxyacyl-coa	3-hydroxyhexadecanoyl-CoA
ketoacyl-coa	3-oxohexadecanoyl-CoA
malonyl-coa	malonyl-CoA
carnitine	L-carnitine
acetoacetate	acetoacetic acid
hydroxybutyrate	3-hydroxybutyric acid
hmg-coa	3-hydroxy-3-methylglutaryl-CoA
mevalonate	mevalonic acid
carbamoyl-p	carbamoyl phosphate
ornithine	L-ornithine
citrulline	L-citrulline
argininosuccinate	argininosuccinic acid
glycerol3p	sn-glycerol 3-phosphate
prpp	phosphoribosyl pyrophosphate
phosphocreatine	phosphocreatine
porphine	porphine
protoporphyrin-ix	protoporphyrin IX
heme-b	heme B
chlorophyll-a	chlorophyll a
epinephrine	L-epinephrine
norepinephrine	L-norepinephrine
serotonin	serotonin
gaba	gamma-aminobutyric acid
thyroxine	L-thyroxine
nitric-oxide	nitric oxide
d-xylose	aldehydo-D-xylose
isomaltose	isomaltose
sphingomyelin	N-palmitoyl-D-erythro-sphingosylphosphorylcholine
a-ribf	alpha-D-ribofuranose
drib-open	2-deoxy-D-ribose
a-dribf	alpha-D-2-deoxyribofuranose
a-xylp	alpha-D-xylopyranose
b-xylp	beta-D-xylopyranose
a-arap	alpha-L-arabinopyranose
b-arap	beta-L-arabinopyranose
a-galp	alpha-D-galactopyranose
b-manp	beta-D-mannopyranose
a-fruf	alpha-D-fructofuranose
b-frup	beta-D-fructopyranose
ribulf	D-ribulofuranose
