cz_chapter	cz_section	enTitle	cz_pages	cz_page_count	cz_nodes	leh_sections	leh_page_count	depth_ratio	leh_pages_A	leh_pages_B	auto_top	auto_agrees	auto_margin	leh_titles	node_ids	czTitle
6	6.1.1	Exergonic and endergonic reactions	131	1	1	13.1	6	6.0	13.1:466-471	13.1:1705-1727	14.5	False	1.15	13.1 Bioenergetics and Thermodynamics	6-1-1	Reakce exergonické a endergonické
6	6.1.2	High-energy (macroergic) compounds — the concept, anhydrides and phosphoamides	131-133	3	2	13.3	11	3.7	13.3:478-488	13.3:1754-1787	13.3	True	1.61	13.3 Phosphoryl Group Transfers and ATP	6-1-2-1,6-1-2-2	Makroergické sloučeniny — pojem, anhydridy a fosfamidy
6	6.1.3	Catabolic and anabolic processes	133-134	2	1	13.2,13.5	14	7.0	13.2:472-478; 13.5:497-503	13.2:1728-1753; 13.5:1821-1837	16.3	False	1.29	13.2 Chemical Logic and Common Biochemical Reactions | 13.5 Regulation of Metabolic Pathways	6-1-3	Katabolické a anabolické děje
6	6.2.1	Oxidation-reduction processes	134-135	2	1	13.4	9	4.5	13.4:488-496	13.4:1788-1820	13.4	True	2.49	13.4 Biological Oxidation-Reduction Reactions	6-2-1-1	Oxidačně redukční pochody
6	6.2.2	The citrate cycle — introduction, cycle overview, and citrate synthase	136-140	5	4	16.1,16.2,16.4	20	4.0	16.1:575-578; 16.2:578-589; 16.4:593-596	16.1:2091-2102; 16.2:2103-2133; 16.4:2143-2156	16.2	True	1.49	16.1 Production of Acetyl-CoA (Activated Acetate) | 16.2 Reactions of the Citric Acid Cycle | 16.4 Regulation of the Citric Acid Cycle	6-2-2-1,6-2-2-2,6-2-2-3,6-2-2-4	Citrátový cyklus — úvod, přehled cyklu, citrátsynthasa
6	6.2.3	The glyoxylate cycle	140-141	2	1	20.6	8	4.0	20.6:732-739	20.6:2603-2626	20.6	True	3.81	20.6 Biosynthesis of Starch, Sucrose, and Cellulose	6-2-3	Glyoxylátový cyklus
6	6.2.4	The respiratory chain and aerobic phosphorylation — introduction and Complex I	141-146	6	5	19.1,19.2,19.3	31	5.2	19.1:660-674; 19.2:675-686; 19.3:686-689	19.1:2368-2407; 19.2:2408-2447; 19.3:2448-2457	19.1	True	3.15	19.1 The Mitochondrial Respiratory Chain | 19.2 ATP Synthesis | 19.3 Regulation of Oxidative Phosphorylation	6-2-4-1,6-2-4-2,6-2-4-3,6-2-4-4,6-2-4-5	Respirační řetězec a aerobní fosforylace — úvod a komplex I
6	6.3	Porphyrin proteins — structure and biological versatility (Table 6.4)	146-147	2	3	22.3,5.1	26	13.0	22.3:816-824; 5.1:148-164	22.3:2863-2883; 5.1:619-680	22.3	True	1.89	22.3 Molecules Derived from Amino Acids | 5.1 Reversible Binding of a Protein to a Ligand: Oxygen-Binding Proteins	6-3-1,6-3-2,6-3-3	Porfyrinové proteiny — struktura a mnohostrannost (Tab. 6.4)
7	7.1	Monosaccharides	148	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	7.2	False	1.11	7.1 Monosaccharides and Disaccharides	7-1	Monosacharidy
7	7.1.1	Aldoses, ketoses	148	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	7.1	True	1.79	7.1 Monosaccharides and Disaccharides	7-1-1	Aldosy, ketosy
7	7.1.2	Deriving aldoses and ketoses — the aldose family tree (Obr. 7.1)	148-150	3	2	7.1	12	4.0	7.1:230-241	7.1:913-951	7.1	True	7.9	7.1 Monosaccharides and Disaccharides	7-1-2-1,7-1-2-2	Odvozování aldos a ketos — odvození řady aldos (obr. 7.1)
7	7.1.3	Hemiacetal/hemiketal forms — formation, anomers, Haworth formulas	149-152	4	2	7.1	12	3.0	7.1:230-241	7.1:913-951	7.1	True	8.97	7.1 Monosaccharides and Disaccharides	7-1-3-1,7-1-3-2	Poloacetálové formy — vznik, anomery, Haworthovy vzorce
7	7.1.4	Mutarotation	151	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	7.1	True		7.1 Monosaccharides and Disaccharides	7-1-4	Mutarotace
7	7.2.1	Sugar esters	152	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	7.4	False	1.17	7.1 Monosaccharides and Disaccharides	7-2-1	Cukerné estery
7	7.2.2	Sugar acids	152-153	2	1	7.1	12	6.0	7.1:230-241	7.1:913-951	7.2	False	1.22	7.1 Monosaccharides and Disaccharides	7-2-2	Cukerné kyseliny
7	7.2.3	Sugar alcohols	153	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	12.2	False	1.02	7.1 Monosaccharides and Disaccharides	7-2-3	Cukerné alkoholy
7	7.2.4	Amino sugars	153	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	7.1	True	1.47	7.1 Monosaccharides and Disaccharides	7-2-4	Aminocukry
7	7.2.5	Deoxy sugars	153	1	1	7.1	12	12.0	7.1:230-241	7.1:913-951	7.1	True		7.1 Monosaccharides and Disaccharides	7-2-5	Deoxycukry
7	7.2.6	Glycosides	153-154	2	1	7.1	12	6.0	7.1:230-241	7.1:913-951	7.1	True		7.1 Monosaccharides and Disaccharides	7-2-6	Glykosidy
7	7.3	Oligosaccharides — definitions and non-reducing oligosaccharides	154-155	2	2	7.1	12	6.0	7.1:230-241	7.1:913-951	7.1	True	1.09	7.1 Monosaccharides and Disaccharides	7-3-1,7-3-2	Oligosacharidy — definice a neredukující oligosacharidy
7	7.4	Polysaccharides	155	1	1	7.2	6	6.0	7.2:241-246	7.2:952-968	7.2	True	8.58	7.2 Polysaccharides	7-4	Polysacharidy
7	7.4.1	Homopolysaccharides -- A. Storage polysaccharides (starch, glycogen, dextrans, inulin, mannans)	156-157	2	2	7.2	6	3.0	7.2:241-246	7.2:952-968	7.2	True	2.89	7.2 Polysaccharides	7-4-1-1,7-4-1-2	Homopolysacharidy -- A. Zásobní polysacharidy (škrob, glykogen, dextrany, inulin, mannany)
7	7.4.2	Heteropolysaccharides (glycosaminoglycans, hyaluronic acid, chondroitin sulfates, heparin)	157-158	2	1	7.2,7.3	13	6.5	7.2:241-246; 7.3:247-253	7.2:952-968; 7.3:969-992	7.2	True	1.24	7.2 Polysaccharides | 7.3 Glycoconjugates: Proteoglycans, Glycoproteins, and Glycolipids	7-4-2	Heteropolysacharidy (glykosaminglykany, kyselina hyaluronová, chondroitinsulfáty, heparin)
7	7.5	Oligosaccharides bound to proteins	158-160	3	1	7.3,7.4	12	4.0	7.3:247-253; 7.4:254-258	7.3:969-992; 7.4:993-1006	7.1	False	1.22	7.3 Glycoconjugates: Proteoglycans, Glycoproteins, and Glycolipids | 7.4 Carbohydrates as Informational Molecules: The Sugar Code	7-5	Oligosacharidy vázané na proteiny
7	7.6	Sugar interconversions — introduction (three reaction types)	159	1	1	14.2	4	4.0	14.2:522-525	14.2:1907-1919	16.2	False	1.22	14.2 Feeder Pathways for Glycolysis	7-6	Vzájemné přeměny cukrů — úvod (tři typy reakcí)
7	7.6.1	Epimerization and isomerization	160	1	1	14.2	4	4.0	14.2:522-525	14.2:1907-1919	14.2	True	1.66	14.2 Feeder Pathways for Glycolysis	7-6-1	Epimerace a izomerace
7	7.6.2	Oxidation and decarboxylation of glucose	160-161	2	1	14.6	6	3.0	14.6:546-551	14.6:1988-2005	7.1	False	1.22	14.6 Pentose Phosphate Pathway of Glucose Oxidation	7-6-2	Oxidace a dekarboxylace glukosy
7	7.6.3	Transfer of three-carbon or two-carbon fragments	161	1	1	14.6	6	6.0	14.6:546-551	14.6:1988-2005	20.4	False	1.46	14.6 Pentose Phosphate Pathway of Glucose Oxidation	7-6-3	Přenos tříuhlíkových nebo dvouuhlíkových štěpů
7	7.7	Two routes to pentose phosphates — the oxidative pentose phosphate pathway	162-163	2	2	14.6	6	3.0	14.6:546-551	14.6:1988-2005	14.6	True	5.28	14.6 Pentose Phosphate Pathway of Glucose Oxidation	7-7-1,7-7-2	Dvě cesty k pentosafosfátům — oxidační pentosafosfátová cesta
7	7.8	Glycolysis — introduction and the preparatory phase (glucose to fructose-1,6-bisphosphate and its cleavage to trioses)	164-167	4	3	14.1	11	2.8	14.1:511-521	14.1:1871-1906	14.1	True	1.29	14.1 Glycolysis	7-8-1,7-8-2,7-8-3	Glykolýza — úvod a přípravná fáze (glukosa až fruktosa-1,6-bisfosfát a jeho štěpení na triosy)
7	7.8.1	Formation of ethanol, lactate, or acetyl-CoA — ethanol and lactate	167-169	3	2	14.3	8	2.7	14.3:525-532	14.3:1920-1945	16.1	False	1.05	14.3 Fates of Pyruvate	7-8-4,7-8-5	Tvorba ethanolu, laktátu nebo acetyl-CoA — ethanol a laktát
7	7.9	Gluconeogenesis, glucose resynthesis — bypassing glycolysis's irreversible steps	169-170	2	1	14.4	6	3.0	14.4:533-538	14.4:1946-1961	14.4	True	1.17	14.4 Gluconeogenesis	7-9	Glukoneogeneze, resyntéza glukosy — obchvat ireverzibilních kroků glykolýzy
7	7.9.1	Gluconeogenesis from amino acids	170	1	1	14.4,18.3	21	21.0	14.4:533-538; 18.3:640-654	14.4:1946-1961; 18.3:2309-2344	18.3	True	2.35	14.4 Gluconeogenesis | 18.3 Pathways of Amino Acid Degradation	7-9-1	Glukoneogenéze z aminokyselin
7	7.10	Enzymatic cleavage of glycosides and oligosaccharides — glycosidases	170-172	3	3	14.2,7.5	6	2.0	14.2:522-525; 7.5:258-259	14.2:1907-1919; 7.5:1007-1010	14.2	True	1.22	14.2 Feeder Pathways for Glycolysis | 7.5 Working with Carbohydrates	7-10-1,7-10-2,7-10-3	Enzymové štěpení glykosidů a oligosacharidů — glykosidasy
7	7.11.1	Hydrolytic cleavage — alpha- and beta-amylases	172-173	2	2	14.2	4	2.0	14.2:522-525	14.2:1907-1919	14.2	True	5.48	14.2 Feeder Pathways for Glycolysis	7-11-1-1,7-11-1-2	Hydrolytické štěpení — α- a β-amylasy
7	7.11.2	Phosphorolysis of starch and glycogen — general mechanism	173-174	2	2	15.2	7	3.5	15.2:558-564	15.2:2036-2055	15.3	False	1.13	15.2 Breakdown and Synthesis of Glycogen	7-11-2-1,7-11-2-2	Fosforolýza škrobu a glykogenu — obecný mechanismus
7	7.12	Biosynthesis of polysaccharides — glycogen synthase and the branching enzyme	174-175	2	2	15.2,20.6	15	7.5	15.2:558-564; 20.6:732-739	15.2:2036-2055; 20.6:2603-2626	15.3	False	2.7	15.2 Breakdown and Synthesis of Glycogen | 20.6 Biosynthesis of Starch, Sucrose, and Cellulose	7-12-1,7-12-2	Biosyntéza polysacharidů — glykogensynthasa a větvící enzym
8	8.1	Definition and classification	176	1	1	10.1	7	7.0	10.1:340-346	10.1:1287-1298	21.2	False	1.7	10.1 Storage Lipids	8-1	Definice a klasifikace
8	8.2.1	Fatty acids — definition, classification, natural occurrence (Tab. 8.2)	177-178	2	2	10.1	7	3.5	10.1:340-346	10.1:1287-1298	10.1	True	1.12	10.1 Storage Lipids	8-2-1-1,8-2-1-2	Mastné kyseliny — definice, klasifikace, přirozený výskyt (tab. 8.2)
8	8.2.2	Simple lipids — Neutral acylglycerols	178-179	2	2	10.1	7	3.5	10.1:340-346	10.1:1287-1298	10.1	True	1.3	10.1 Storage Lipids	8-2-2-1,8-2-2-2	Jednoduché lipidy — Neutrální acylglyceroly
8	8.2.3	Complex lipids — Glycoacylglycerols (introduction)	179-182	4	4	10.2	8	2.0	10.2:346-353	10.2:1299-1321	10.2	True	1.55	10.2 Structural Lipids in Membranes	8-2-3,8-2-3-2,8-2-3-3,8-2-3-4	Složené lipidy — Glykoacylglyceroly (úvod)
8	8.2.4	Derived lipids — terpenes (isoprenoids): characteristics and classification	182-187	6	6	10.3,21.4	26	4.3	10.3:353-360; 21.4:772-789	10.3:1322-1342; 21.4:2734-2774	21.4	True	1.7	10.3 Lipids as Signals, Cofactors, and Pigments | 21.4 Cholesterol, Steroids, and Isoprenoids: Biosynthesis, Regulation, and Transport	8-2-4-1,8-2-4-2,8-2-4-3,8-2-4-4,8-2-4-5,8-2-4-6	Odvozené lipidy — terpeny (isoprenoidy): charakteristika a klasifikace
8	8.3	Lipid biosynthesis — Fatty acids: subcellular compartmentalization, the source of acetyl-CoA, and malonyl-CoA formation	187-193	7	9	21.1,21.2,21.3,21.4	46	6.6	21.1:745-760; 21.2:760-763; 21.3:764-771; 21.4:772-789	21.1:2649-2696; 21.2:2697-2713; 21.3:2714-2733; 21.4:2734-2774	21.1	True	1.29	21.1 Biosynthesis of Fatty Acids and Eicosanoids | 21.2 Biosynthesis of Triacylglycerols | 21.3 Biosynthesis of Membrane Phospholipids | 21.4 Cholesterol, Steroids, and Isoprenoids: Biosynthesis, Regulation, and Transport	8-3-1,8-3-2,8-3-3,8-3-4,8-3-5,8-3-6,8-3-7,8-3-8,8-3-9	Biosyntéza lipidů — Mastné kyseliny: subcelulární lokalizace, zdroj acetyl-CoA a vznik malonyl-CoA
8	8.4.1	Simple lipids	193	1	1	17.1	4	4.0	17.1:603-606	17.1:2183-2197	10.1	False	1.35	17.1 Digestion, Mobilization, and Transport of Fats	8-4-1	Jednoduché lipidy
8	8.4.2	Complex lipids — phospholipids and phospholipases	193-194	2	2	10.4,21.3	11	5.5	10.4:361-363; 21.3:764-771	10.4:1343-1354; 21.3:2714-2733	21.3	True	1.06	10.4 Working with Lipids | 21.3 Biosynthesis of Membrane Phospholipids	8-4-2-1,8-4-2-2	Složené lipidy — fosfolipidy a fosfolipasy
8	8.4.3	Derived lipids	194	1	1	21.4	18	18.0	21.4:772-789	21.4:2734-2774	21.4	True	1.47	21.4 Cholesterol, Steroids, and Isoprenoids: Biosynthesis, Regulation, and Transport	8-4-3	Odvozené lipidy
8	8.4.4	Fatty acids — activation	194-197	4	4	17.1,17.2,17.3	19	4.8	17.1:603-606; 17.2:607-618; 17.3:618-620	17.1:2183-2197; 17.2:2198-2240; 17.3:2241-2249	17.2	True	1.41	17.1 Digestion, Mobilization, and Transport of Fats | 17.2 Oxidation of Fatty Acids | 17.3 Ketone Bodies	8-4-4-1,8-4-4-2,8-4-4-3,8-4-4-4	Mastné kyseliny — aktivace
8	8.5	Biological membranes (introduction)	197-198	2	1	11.1	10	5.0	11.1:367-376	11.1:1370-1402	10.3	False	1.46	11.1 The Composition and Architecture of Membranes	8-5	Biologické membrány (úvod)
8	8.5.1	Chemical composition	198	1	1	11.1	10	10.0	11.1:367-376	11.1:1370-1402	11.1	True		11.1 The Composition and Architecture of Membranes	8-5-1	Chemické složení
8	8.5.2	Structure — the lipid bilayer	198-200	3	3	11.1,11.2	18	6.0	11.1:367-376; 11.2:377-384	11.1:1370-1402; 11.2:1403-1431	11.1	True	4.69	11.1 The Composition and Architecture of Membranes | 11.2 Membrane Dynamics	8-5-2-1,8-5-2-2,8-5-2-3	Struktura — lipidová dvojvrstva
8	8.5.3	Membrane transport — passive transport, simple diffusion	200-201	2	3	11.3	19	9.5	11.3:385-403	11.3:1432-1495	11.3	True	6.26	11.3 Solute Transport across Membranes	8-5-3-1,8-5-3-2,8-5-3-3	Membránový transport — pasivní transport, prostá difúze
9	9	Photoautotrophy — the five metabolisms specific to autotrophs	202	1	1	20.1	7	7.0	20.1:701-707	20.1:2498-2519				20.1 Light Absorption	9-1	Fotoautotrofie — pět specifických metabolismů
9	9.1	Basic processes of photosynthesis — the general equation, thylakoid, chloroplast	202-204	3	3	20.1	7	2.3	20.1:701-707	20.1:2498-2519	20.4	False	1.15	20.1 Light Absorption	9-2,9-3,9-4	Základní děje fotosyntézy — obecná rovnice, thylakoid, chloroplast
